family	strain AcoPra	Frankia alni ACN14a	Frankia sp. QA3	Frankia torreyi ACN1ag	Frankia alni AvcI1	Frankia torreyi CpI1-S	Candidatus Frankia alpina AvVan	Frankia canadensi ARgP5	Candidatus Frankia nodulisporulans AgTrS	Candidatus Frankia alpina AiOr	Candidatus Frankia nodulisporulans AgUmASt1	Candidatus Frankia nodulisporulans AgUmASH1	Frankia casuarinae CcI3	Frankia casuarinae CcI6	Frankia casuarinae Thr	Frankia casuarinae CeD	Frankia casuarinae Allo2	Frankia casuarinae BR	Frankia casuarinae KB5	Candidatus Frankia californiensis Dg2	Candidatus Frankia datiscae Dg1	Frankia coriaria BMG5.1	Frankia meridionalis Cppng1	Frankia sp. EAN1pec	Frankia sp. EUN1f	Frankia discariae BCU110501	Frankia elaeagni BMG5.12	Frankia irregularis G2	Frankia soli NRRL B-16219	Frankia inefficax EuI1c	Frankia saprophytica CN3	Frankia sp. DC12	Frankia asymbiotica M16386
33_frankia_FAM000083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000086	2	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	1	3	0	2
33_frankia_FAM000087	2	3	2	3	6	4	2	1	2	2	2	2	10	17	10	6	17	17	9	3	3	5	4	6	3	3	4	7	3	6	8	6	12
33_frankia_FAM000088	2	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
33_frankia_FAM000089	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
33_frankia_FAM000091	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
33_frankia_FAM000092	1	1	1	1	1	1	1	0	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1
33_frankia_FAM000094	1	0	1	1	0	1	0	0	2	0	2	2	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1
33_frankia_FAM000095	2	0	1	1	0	1	1	1	2	0	2	2	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2
33_frankia_FAM000096	2	1	1	1	1	1	1	1	2	1	2	2	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	2	1	1	2
33_frankia_FAM000097	3	3	1	2	5	1	0	0	1	0	0	0	4	5	4	1	5	5	1	1	0	1	0	6	2	0	3	2	0	2	1	2	6
33_frankia_FAM000098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000099	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	3	4	7	4	2	5	4	1	1	2	3
33_frankia_FAM000100	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	2	2	2	1	1	2	0	0	0	0
33_frankia_FAM000101	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	2	3	2	1	1	2	0	0	0	0
33_frankia_FAM000102	2	2	4	2	3	3	1	3	2	2	2	2	3	3	3	2	3	3	4	1	1	0	2	2	2	2	4	2	3	4	4	3	4
33_frankia_FAM000103	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM000104	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1
33_frankia_FAM000105	2	2	2	2	2	2	1	2	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1
33_frankia_FAM000106	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM000107	4	3	3	4	3	4	3	3	3	3	2	2	2	2	2	2	2	2	2	1	2	2	3	4	4	4	3	4	4	4	4	4	5
33_frankia_FAM000108	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM000109	1	2	2	2	2	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
33_frankia_FAM000110	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM000111	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM000112	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	2	1	1	0	0	0	0
33_frankia_FAM000113	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000114	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	1	0
33_frankia_FAM000115	1	2	1	2	2	2	1	2	1	1	0	0	1	1	1	1	1	1	1	1	1	2	0	0	0	1	1	1	1	1	2	1	1
33_frankia_FAM000116	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000117	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1
33_frankia_FAM000118	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	1	2	2	2	2	2	3	3	3
33_frankia_FAM000119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000120	3	3	2	3	3	3	1	3	3	1	3	2	1	1	1	1	1	1	1	0	1	1	2	5	4	4	4	5	4	4	5	3	3
33_frankia_FAM000121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000122	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1
33_frankia_FAM000123	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000125	2	2	2	2	1	3	1	2	1	1	1	1	2	2	2	2	2	2	2	7	2	6	2	5	4	2	3	4	2	2	2	2	1
33_frankia_FAM000126	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000128	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000129	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000130	2	3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	3	3	3	2	2	2	2	3
33_frankia_FAM000131	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1
33_frankia_FAM000132	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0
33_frankia_FAM000133	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
33_frankia_FAM000134	12	15	16	18	15	18	6	19	9	8	5	6	6	6	6	4	6	6	6	4	8	11	8	20	13	16	18	13	16	15	21	9	15
33_frankia_FAM000135	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33_frankia_FAM000136	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33_frankia_FAM000137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	1	1	1	1
33_frankia_FAM000138	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	0	1	1	1	1	1	1	2	3	2	2
